id,product_unit_id,result,ip_hash,user_agent_hash,created_at
1,82,success,f5b73c244f2c7f90da119cd5d5ebca35550f125a27936efde9a123932587b89c,ff431625483a89f24940504ef3aea91fee5af098ee921486eef922b2ace1c343,2025-01-01T08:27:00+00:00
2,87,failed,68fca94fd75d6cd1e7b49cbaa9689cb2906150c3f1e2fc9dbc48027bc0a28e10,726c1edb2893744a0ae3173c01e21b06e4f145ca2692283b6dd4737f427d5211,2025-01-01T08:51:00+00:00
3,28,success,9ff9338fa6acff0a518b97d951dc763f1eb0c89d0b8fd215f99fb76ea38c26b2,11c229eb81cf7e4fb439898266da372925a2bfbd63c2276b92996371021b15c0,2025-01-01T11:51:00+00:00
4,70,success,0dddf9437bfdb1f3bb521d170e95c6da5a42220acf3710cf37d411b9bd65d751,6ace6919479fa43137c1a477ae7568e02614d4c0d69671928a95dceb18adf60b,2025-01-01T15:06:00+00:00
5,104,success,e575bb842e4df2444b00a59dc992aaad8ce71d70803b30593832406e13a86695,65d89b50e7c05807cce2edea82f21b25d10b4002af550e1dcf58316403bf7ffb,2025-01-01T18:22:00+00:00
6,44,success,b6bf6db63c0ff02d9204ea3f03669e6dd24920bcd85f59d1ce1f8ab702dbc99c,81193016c125855ba170923e97d63d387f905f974e9498b12d351205503c43f5,2025-01-01T19:30:00+00:00
7,104,success,aaa7b2fd4f1863e61d8b2cde11fc6fa8f8bf05344d2f3b2a9104e86546e16595,f178a4e862e8c252377e61d15a91206987a293fa4d32ee1a28a6893c6d8191ee,2025-01-01T19:51:00+00:00
8,71,success,ae69b94918e1349e8b9b9961d1f6a1e0d44664cea208c5a48ef57d8c57c11522,fb22a0b9bfd964d3a588e89c82c2cf7c0f6676e4be56f20f1451463730c22d19,2025-01-01T20:41:00+00:00
9,91,success,59335a3e28ee5c2b7cbaf32106c87ab62d0553ab05e1a0db9917134ed74d0a5e,c2f65e01305a3dff7fbccf287b3dceadcaecb02543fa7aaa6fada6365c2569dd,2025-01-02T00:20:00+00:00
10,30,invalid,2122e6d5179c6e0299b691f3cca205868203919676af8b2215e2c836843a6149,fb92faf99ceb53083259adff9aa0dfabbe5bd7e5bf873cc5a9bff53d92c94f49,2025-01-02T01:02:00+00:00
11,48,success,9286def96b398f79cc9bb027668a5d7e5e26730cb781e3ebcb49c1687f9a481d,af7cf932acbe04ecc5ab317ad17e1b706a2444abdd7dfd74f7e3f86a7068059b,2025-01-02T01:21:00+00:00
12,78,failed,546a25d758bb0d68eae35fb5f54663b2153897958ce0961ffcf2b522260aa6c0,def5fbaed5d01b7c687d01211abaacdb29fa403ca97f28c7ac454ef6e7ba80fc,2025-01-02T02:31:00+00:00
13,119,failed,464c621a15f8a881b5e056b9870e242f4b2f8ac8674e6d11d3b6b3faad39fac8,c78ec61d5d68ce1ca3b9625af919d7df2939c55bc1e64a1954c9f536c5363da9,2025-01-02T05:50:00+00:00
14,8,success,,,2025-01-02T07:11:00+00:00
15,52,success,89ffca7e77ed04f2773a187c77aae4e00f3978e535a4ea0f33bc82b325f8b58c,713de6944710e3c57f8076828b39d8b2bf9aceb9a5a181e89e867dd7755ab5c8,2025-01-02T08:32:00+00:00
16,28,failed,bd4ff6c76250aa6b4f6ec7dc2fcfc8845573c2b29c58073d0ba4090143e3ed41,292214f3405ccec2800323a237d081140c28a4533feadfb4363d282715e191b1,2025-01-02T09:40:00+00:00
17,18,success,e20c11b9fe5aec70bb181e7411abc6e3e23b9aca7b6050e1c12f501f25900fd0,1ce5087f5782a37ae1f289cfc0ee76a1a2468a2ba9edf2a59727be4cce117002,2025-01-02T13:30:00+00:00
18,75,success,b529791a2b431b56958d5e12492f15cbb4996264713a3ccbb598815a49d80bfa,94ac5a83ba8fc0d66b3d1440515033fb044dd6341838d6aaf9fd3c4d0ef31b00,2025-01-02T13:54:00+00:00
19,97,success,6b44d79066d42cb844a92b90f8dc9e9af83969986449ba396565dabe3a119e8b,3c3720bf1a7c21b665be847c1d998cedbaea37ddd62f68dbb0cfc4f41039ece0,2025-01-02T15:43:00+00:00
20,77,success,4dd40b9e995c78ab85af7c4467692d48111779d15b50567e5739343f9c16b27c,e40322eb954a3a89a51b17b3e0f7c8087e7ded11c8a4b193e07aa331f589ef17,2025-01-02T18:05:00+00:00
21,111,duplicate,d1a7d57168234f1c8db2dae0b2ce3005b96d0fbc3c6d42e062077a394cb0252c,2e4071844b8d32a81b45b7e94b05a4e38e0b41cd7a1f8b28c7d71b14363aca05,2025-01-02T21:18:00+00:00
22,35,expired,b8a7eb9bf288176a07477af6519e2aed8bc4147d5b11c8252987334bf5ebea6d,30a0684e968b23eea79eb26dd23c7d01a2aabed5803846806463fa59ce5ad713,2025-01-02T21:19:00+00:00
23,93,invalid,d67d618624846cc4adae3f722c72fca0bbfea4ce17d10a3330eeb52d3c6f12eb,f3a6bbb028f07b738f11e02de7282e75729fa1915b2480ca423fa8470324aabe,2025-01-03T01:13:00+00:00
24,14,invalid,72b84fcf406d83b00d517d832282dd94aae0cd49bf5e0a668b9060554d23c80e,6060d861114fc05015088c8f1400d0e3b8f3fdbd49faef49630a50117be72199,2025-01-03T01:53:00+00:00
25,48,expired,6c600e555e251a99dba520db30c2e1ca504d461bb6f5ae337356fc0e1934a13c,a9c743c4306a5467bac6b109678f22399f6014aea0438048ab8d3375960fb7a7,2025-01-03T01:54:00+00:00
26,77,success,,,2025-01-03T05:52:00+00:00
27,47,invalid,69b0a095108a88ee360287a2662d4e8ca9accd9f5b4338f5f3f347be9e11bc99,9cc46cda8e99919cea9582d99d97aa25afaec629d8da5f8cf6d6a4e16e3ededa,2025-01-03T09:37:00+00:00
28,73,duplicate,157c9b9fb919928cc8afdb10a1884aaed04441c83907a00b21a26260c2b99ed8,0227a8ffc906d8c9b46cec6efa1b852da0d386f3f0a1dc16e4d4efd7cb687857,2025-01-03T12:52:00+00:00
29,69,expired,a3043ac6de396ce7e5ea161724b422c91b987a51e9d0603a8c90fb70283a1c69,f34054b05caae7d46bcf2a75d678ae6f8ed5bce68c9f168955d88e57afe6a0e6,2025-01-03T14:00:00+00:00
30,68,invalid,056615f4dc7763aed04da317f1c75579905a7d07e525564c053c8f35b3a84e1c,0d748875e21b93d105a6e86052446fdd4f3b2cfa6ec6f9d296f0abfcf8e8e949,2025-01-03T17:07:00+00:00
31,89,success,93ebff3b66a3a4f5c79b88c2bb5f1ea2edd91e319e426deb5c207fa5b351d239,27ed8e3173f68571a3613893c60f10f063e08bcc2dcfa68f503f663b3cb9d034,2025-01-03T19:00:00+00:00
32,116,success,cc950779ac87b72321601f477c38f074bed9563ced508ebb8f351ba1b3bdac37,001c38250e74cc4712b0bbfaf864047e8834aa7a005ec8d93e2e5d67243788ef,2025-01-03T21:31:00+00:00
33,71,success,2f96b82c05d871e21934502dc33a44155ea56a6920fe4d680b91dda3920a652e,81263c5122cebeb98d9234dc5aebee55a4efc4fba23096352cc259d8ff41f066,2025-01-03T22:30:00+00:00
34,9,invalid,a5254a3e1c2e6136c2903660d65a4a0f378234bd9dad4baa47d0112d0560ac32,3e9d5fc812dd969dfe5825b569a474911f339fc5e2910ff5c231b9c007157598,2025-01-04T01:22:00+00:00
35,63,success,84878cbcaf89ef326230ebf0363f0b5bca753538f6d96d8ac1cc51084a3e40c1,b951b90bb6580f79e7de357c75e69d6491a9daa082ed100a1100bafdf71c4f64,2025-01-04T03:24:00+00:00
36,32,expired,25ef3c15c52b539cea4fe5259d5c381ed4366bd1fc7c67579e430e268784a2a0,2670b0f83ebad7e6005c158263b5d9b2951d9ca55937102225cd9566e88345b5,2025-01-04T05:15:00+00:00
37,46,success,cc8ba980c7d2ace1d5655f768af87c50c9bb9e3c16d27e5823808256f686c71a,bfe63f39fe9bca57983877ff7005594d9d55f1d58357a41c0f7c7c6132fa12df,2025-01-04T08:01:00+00:00
38,13,success,ce067bbfa32b8cb5508c8c3cdc4fca7a56c334ac0664f4cefe017d786c6400c7,e302d1bd6b4bd53c44a104f584f735039e44c0c981d10c7becf16e13b835f0dd,2025-01-04T08:51:00+00:00
